ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2021-0007,1,2021-01-18,2021,1,18,10:00:00,10,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,DE LOS CONSTITUYENTES AV.,15,MOTO-MOTO,MOTO,MOTO,2021_S1,DIURNO
2021-0008,1,2021-01-22,2021,1,22,23:30:00,23,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,SAENZ AV.,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,NOCTURNO
2021-0009,1,2021-01-23,2021,1,23,05:30:00,5,PAYSANDU Y GAONA,AVENIDA,PAYSANDU,6,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0010,1,2021-01-23,2021,1,23,08:00:00,8,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV. ",GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-AUTO,MOTO,AUTO,2021_S1,DIURNO
2021-0011,1,2021-01-27,2021,1,27,01:04:26,1,SANTA FE AV. 1675,AVENIDA,SANTA FE AV.,2,PEATON-AUTO,PEATON,AUTO,2021_S1,NOCTURNO
2021-0012,1,2021-01-29,2021,1,29,20:07:22,20,AU DELLEPIANE Y GUAMINI,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",8,PEATON-AUTO,PEATON,AUTO,2021_S1,NOCTURNO
2021-0013,1,2021-01-31,2021,1,31,06:10:00,6,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,"FALCON, RAMON L.,CNEL.",10,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,DIURNO
2021-0014,1,2021-02-02,2021,2,2,00:50:00,0,SAN MARTIN AV. Y NOGOYA,AVENIDA,SAN MARTIN AV.,15,PEATON-AUTO,PEATON,AUTO,2021_S1,NOCTURNO
2021-0015,1,2021-02-06,2021,2,6,03:05:00,3,SAN MARTIN AV. Y TINOGASTA,AVENIDA,SAN MARTIN AV.,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0016,1,2021-02-14,2021,2,14,05:50:00,5,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021_S1,NOCTURNO
